cleaned_tweet,tweet,labels
woman complain clean hous amp man alway take trash,!!! RT @mayasolovely: As a woman you shouldn't complain about cleaning up your house. &amp; as a man you should always take the trash out...,2
boy dat cold tyga dwn bad cufin dat hoe st place,!!!!! RT @mleew17: boy dats cold...tyga dwn bad for cuffin dat hoe in the 1st place!!,1
dawg ever fuck bitch start cri confus shit,!!!!!!! RT @UrKindOfBrand Dawg!!!! RT @80sbaby4life: You ever fuck a bitch and she start to cry? You be confused as shit,1
look like trani,!!!!!!!!! RT @C_G_Anderson: @viva_based she look like a tranny,1
shit hear I might true might faker bitch tell ya,!!!!!!!!!!!!! RT @ShenikaRoberts: The shit you hear about me might be true or it might be faker than the bitch who told it to ya &#57361;,1
shit blow I claim faith somebodi still fuck hoe,"!!!!!!!!!!!!!!!!!!""@T_Madison_x: The shit just blows me..claim you so faithful and down for somebody but still fucking with hoes! &#128514;&#128514;&#128514;""",1
I sit hate anoth bitch I get much shit go,"!!!!!!""@__BrighterDays: I can not just sit up and HATE on another bitch .. I got too much shit going on!""",1
caus I tire big bitch come skinni girl,!!!!&#8220;@selfiequeenbri: cause I'm tired of you big bitches coming for us skinny girls!!&#8221;,1
amp might get ya bitch back amp,""" &amp; you might not get ya bitch back &amp; thats that """,1
hobbi includ fight mariam bitch,""" @rhythmixx_ :hobbies include: fighting Mariam""

bitch",1
kek bitch curv everyon lol I walk convers like thi smh,""" Keeks is a bitch she curves everyone "" lol I walked into a conversation like this. Smh",1
murda gang bitch gang land,""" Murda Gang bitch its Gang Land """,1
hoe smoke loser yea go ig,""" So hoes that smoke are losers ? "" yea ... go on IG",1
bad bitch onli thing I like,""" bad bitches is the only thing that i like """,1
bitch get I,""" bitch get up off me """,1
bitch nigga miss I,""" bitch nigga miss me with it """,1
bitch plz whatev,""" bitch plz whatever """,1
bitch love,""" bitch who do you love """,1
bitch get cut everyday b,""" bitches get cut off everyday B """,1
black bottl amp bad bitch,""" black bottle &amp; a bad bitch """,1
break bitch ca nt tell I noth,""" broke bitch cant tell me nothing """,1
cancel bitch like nino,""" cancel that bitch like Nino """,1
ca nt see hoe wo nt chang,""" cant you see these hoes wont change """,1
fuck bitch nt even suck dick kermit video bout fuck ig,""" fuck no that bitch dont even suck dick "" &#128514;&#128514;&#128514; the Kermit videos bout to fuck IG up",1
get ya bitch tip toe hardwood floor,""" got ya bitch tip toeing on my hardwood floors "" &#128514; http://t.co/cOU2WQ5L4q",1
pussi lip like heaven door,""" her pussy lips like Heaven doors "" &#128524;",1
hoe hit,""" hoe what its hitting for """,1
I meet pussi ocean dr I give pussi pill,""" i met that pussy on Ocean Dr . i gave that pussy a pill "" &#128524;",1
I need tripi bitch fuck henesi,""" i need a trippy bitch who fuck on Hennessy """,1
I spend money I want bitch busi,""" i spend my money how i want bitch its my business """,1
I txt old bitch new bitch pussi wetter,""" i txt my old bitch my new bitch pussy wetter """,1
I would say I back old I old bitch would get excit,""" i'd say im back to the old me but my old bitches would get excited "" &#128524;",1
ai nt bout murder game pussi nigga shut,""" if you aint bout that Murder Game pussy nigga shut up """,1
toe pussi stink,""" if you're toes ain't done you pussy stinks """,1
I bitter bitch wrap angri bird ap,""" im done with bitter bitches its a wrap for that . if you a angry bird theres a app for that """,1
ya bitch,""" is that ya bitch """,1
ai nt noth cut bitch,""" it aint nothing to cut a bitch off """,1
ju meet son ya mane ass bitch,""" jus meet son now he ya mane ass bitches "" #Shots",1
lame cri hoe tear clown,""" lames crying over hoes thats tears of a clown """,1
like snoop say nt love hoe,""" like Snoop said in 94 we dont love these hoes """,1
momma say pussi cat insid doghous,""" momma said no pussy cats inside my doghouse """,2
hate hoe favorit,""" most hated but the hoes favorite "" #2MW #SevenOne # http://t.co/BMdSVMc3rC",1
nice girl bad make I get naughti bad yelo hoe real nice bodi south chick like em real thick,""" nice girls bad, make me get naughty. Bad yello hoe, real nice body. Down south chick, like em real thick"" http://t.co/bzRDl3kF7U",1
pimp pimp hoe futur voic,""" pimps up pimps up hoes down "" Future voice",1
post pictur pussi get like,""" post a picture of that pussy get 200 likes """,1
